title,release_year,locations,fun_facts,production_company,distributor,director,writer,actor_1,actor_2,actor_3,state,city,point,supervisor_district,data_loaded_at,analysis_neighborhood,longitude,data_as_of,latitude
Memoirs of an Invisible Man,1992,St. Elizabeth Apartment House (901 Powell Street at Sacramento),,Warner Bros. Pictures,Warner Bros. Pictures,John Carpenter,Robert Collector,Chevy Chase,Daryl Hannah,Sam Neill,CA,San Francisco,POINT (-122.4096668 37.7930759),3,2026-02-20T16:44:43.000,Nob Hill,-122.4096668,2026-02-20T16:37:46.000,37.7930759
Milk,2008,Treasure Island,"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",Focus Features,Focus Features,Gus Van Sant,Dustin Lance Black,Sean Penn,Emile Hirsch,,CA,San Francisco,POINT (-122.3699786 37.825284),6,2026-02-20T16:44:43.000,Treasure Island,-122.3699786,2026-02-20T16:37:46.000,37.825284
The Doctor,1991,,,Silver Screen Partners IV,Buena Vista Pictures,Randa Haines,Robert Caswell,William Hurt,Christine Lahti,,CA,San Francisco,,,2026-02-20T16:44:43.000,,,2026-02-20T16:37:46.000,
Time After Time,1979,One Embarcadero Center (Financial District),,Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner,CA,San Francisco,POINT (-122.3998262 37.7946507),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.3998262,2026-02-20T16:37:46.000,37.7946507
Etruscan Smile,2017,343 Union Street,,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,CA,San Francisco,POINT (-122.4050849 37.8008088),3,2026-02-20T16:44:43.000,North Beach,-122.4050849,2026-02-20T16:37:46.000,37.8008088
Ant-Man and the Wasp,2018,Saint Louis Alley at Jackson,,"PYM Particles Productions II, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Chris McKenna,Paul Rudd,Evangeline Lilly,Michael Douglas,CA,San Francisco,POINT (-122.4071135 37.7959798),3,2026-02-20T16:44:43.000,Chinatown,-122.4071135,2026-02-20T16:37:46.000,37.7959798
Looking Season 2 ep 210,2015,Mission Street @ 22nd Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.4187696 37.7554489),9,2026-02-20T16:44:43.000,Mission,-122.4187696,2026-02-20T16:37:46.000,37.7554489
Jack,1996,,,American Zoetrope,Buena Vista Pictures,Francis Ford Coppola,James DeMonaco,Robin Williams,Diane Lane,,CA,San Francisco,,,2026-02-20T16:44:43.000,,,2026-02-20T16:37:46.000,
City of Angels,1998,San Francisco Public Library Main Branch (100 Larkin Street),,Atlas Entertainment,Warner Bros. Pictures,Brad Silberling,Dana Stevens,Nicolas Cage,Meg Ryan,,CA,San Francisco,POINT (-122.4158888 37.7789562),5,2026-02-20T16:44:43.000,Tenderloin,-122.4158888,2026-02-20T16:37:46.000,37.7789562
Terminator - Genisys,2015,Union Square,,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,CA,San Francisco,POINT (-122.4066183 37.787552),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.4066183,2026-02-20T16:37:46.000,37.787552
Quitters,2015,Claire Lilienthal Elementary School,,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,CA,San Francisco,POINT (-122.4432686 37.8033611),2,2026-02-20T16:44:43.000,Marina,-122.4432686,2026-02-20T16:37:46.000,37.8033611
Guess Who's Coming to Dinner,1967,Mel's Drive-In (Corner South Van Ness & Mission St.),This restaurant location was demolished; however another Mel's was reopened in 1986 on 3355 Geary Blvd.,Columbia Pictures Corporation,Columbia Pictures,Stanley Kramer,William Rose,Spencer Tracy,Sidney Poitier,Katharine Hepburn,CA,San Francisco,POINT (-122.4044376 37.7840396),6,2026-02-20T16:44:43.000,South of Market,-122.4044376,2026-02-20T16:37:46.000,37.7840396
The Dead Pool,1988,Hall of Justice (850 Bryant Street),,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,Patricia Clarkson,CA,San Francisco,POINT (-122.4041754 37.7761709),6,2026-02-20T16:44:43.000,South of Market,-122.4041754,2026-02-20T16:37:46.000,37.7761709
Etruscan Smile,2017,Jones @ Broadway,,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,CA,San Francisco,POINT (-122.4152084 37.7968006),3,2026-02-20T16:44:43.000,Nob Hill,-122.4152084,2026-02-20T16:37:46.000,37.7968006
Maintenance Required,2025,1562 Mckinnon Ave.,,ROUKYA FILMS,Amazon MGM Studios,Lacey Uhlemeyer,Lacey Uhlemeyer,Madelaine Petsch,Jacob Scipio,Madison Bailey,CA,San Francisco,POINT (-122.3884892 37.7357232),10,2026-02-20T16:44:43.000,Bayview Hunters Point,-122.3884892,2026-02-20T16:37:46.000,37.7357232
The Last Black Man in San Francisco,2019,363 Lyon St,,"LBMISF, LLC",A24,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,CA,San Francisco,POINT (-122.4429418 37.7742258),5,2026-02-20T16:44:43.000,Lone Mountain/USF,-122.4429418,2026-02-20T16:37:46.000,37.7742258
Dreams,2025,"Mission Preparatory Academy, 1050 York St.",,Suenos Productions LLC,The Match Factory GmbH,Michel Franco,Michel Franco,Jessica Chastain,Isaac Hernández,Marshall Bell,CA,San Francisco,POINT (-122.4087664 37.7552502),9,2026-02-20T16:44:43.000,Mission,-122.4087664,2026-02-20T16:37:46.000,37.7552502
Looking Season 2 ep 202,2015,Church @ Duboce Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.4332549 37.7690667),8,2026-02-20T16:44:43.000,Castro/Upper Market,-122.4332549,2026-02-20T16:37:46.000,37.7690667
A Night Full of Rain,1978,Broadway (North Beach),,Liberty Film,Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller,Candice Bergen,Giancarlo Gianni,,CA,San Francisco,POINT (-122.4074424 37.7977897),3,2026-02-20T16:44:43.000,Chinatown,-122.4074424,2026-02-20T16:37:46.000,37.7977897
Woman on the Run,1950,835-865 Market Street at 5th Street,"The Emporium, a department store, stood in this location. Bloomingdale's is now located here.",Fidelity Pictures Corporation,Universal Pictures,Norman Foster,Norman Foster,Ann Sheridan,Dennis O'Keefe,Robert Keith,CA,San Francisco,POINT (-122.4075701 37.7840447),6,2026-02-20T16:44:43.000,South of Market,-122.4075701,2026-02-20T16:37:46.000,37.7840447
The Matrix Resurrections,2021,Montgomery and Pine,,"Adobe Pictures, Inc.",Warner Brothers,Lana Wachowski,"Lana Wachowski, David Mitchell, Aleksander Hemon",Keanu Reeves,Keanu Reeves,Neil Patrick Harris,CA,San Francisco,POINT (-122.4026072 37.7919161),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.4026072,2026-02-20T16:37:46.000,37.7919161
Venom,2018,"Epic Steakhouse, 369 Embarcadero",,"L.O.Z. Productions, Inc.","Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed,CA,San Francisco,POINT (-122.3894682 37.7908723),6,2026-02-20T16:44:43.000,Financial District/South Beach,-122.3894682,2026-02-20T16:37:46.000,37.7908723
Chance Season 2,2017,20th St between Church and Dolores St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,CA,San Francisco,POINT (-122.4199806 37.7583974),9,2026-02-20T16:44:43.000,Mission,-122.4199806,2026-02-20T16:37:46.000,37.7583974
Etruscan Smile,2017,San Francisco Airport,,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,CA,San Francisco,POINT (-122.3816274 37.6191145),,2026-02-20T16:44:43.000,,-122.3816274,2026-02-20T16:37:46.000,37.6191145
Etruscan Smile,2017,California Street between Front and Davis,,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,CA,San Francisco,POINT (-122.3988062 37.7933714),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.3988062,2026-02-20T16:37:46.000,37.7933714
Desperate Measures,1998,,,Mandalay Entertainment,TriStar Pictures,Barbet Schroeder,David Klass,Michael Keaton,Andy Garcia,Raven-Symone,CA,San Francisco,,,2026-02-20T16:44:43.000,,,2026-02-20T16:37:46.000,
By Hook or By Crook,2001,The Lexington Club (3464 19th Street at Lexington),,Steakhaus Productions,Artistic License,Harriet Dodge & Silas Howard,Harriet Dodge & Silas Howard,Silas Howard,,,CA,San Francisco,POINT (-122.4208052 37.7602662),9,2026-02-20T16:44:43.000,Mission,-122.4208052,2026-02-20T16:37:46.000,37.7602662
Americana,2015,679 Madrid St,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,CA,San Francisco,POINT (-122.4347362 37.7187579),11,2026-02-20T16:44:43.000,Excelsior,-122.4347362,2026-02-20T16:37:46.000,37.7187579
A Taiwanese Tale of Two Cities,2018,Sutter St at Taylor St,,Envision Productions Inc.,Netflix,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen,CA,San Francisco,POINT (-122.4119166 37.7888192),3,2026-02-20T16:44:43.000,Nob Hill,-122.4119166,2026-02-20T16:37:46.000,37.7888192
Women is Losers,2020,110 Pierce St,,Look at the Moon Pictures,,Lissette Feliciano,Lissette Feliciano,Lorenza Izzo,Simu Liu,Liza Weil,CA,San Francisco,POINT (-122.4333967 37.7710559),5,2026-02-20T16:44:43.000,Haight Ashbury,-122.4333967,2026-02-20T16:37:46.000,37.7710559
Time After Time,1979,"Ghirardelli Square (900 North Point Street, Fisherman's Wharf)","In 1893, chocolatier Domingo Ghirardelli bought an entire city block to house the headquarters of Ghirardelli Chocolates.",Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner,CA,San Francisco,POINT (-122.4226335 37.8055598),2,2026-02-20T16:44:43.000,Russian Hill,-122.4226335,2026-02-20T16:37:46.000,37.8055598
Basic Instinct,1992,Pier 7 (The Embarcadero),,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,CA,San Francisco,POINT (-122.3956409 37.7993521),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.3956409,2026-02-20T16:37:46.000,37.7993521
This Is Us,2022,California Street at Mason Street,,20th Television,NBC,Mandy Moore,"Dan Fogelman, Casey Johnson, David Windsor, Chrissy Metz",Milo Ventimiglia,Mandy Moore,Sterling K. Brown,CA,San Francisco,POINT (-122.4108465 37.7918448),3,2026-02-20T16:44:43.000,Nob Hill,-122.4108465,2026-02-20T16:37:46.000,37.7918448
Just Like Heaven,2005,,,DreamWorks SKG,DreamWorks Distribution,Mark Waters,Peter Tolan,Reese Witherspoon,Mark Ruffalo,,CA,San Francisco,,,2026-02-20T16:44:43.000,,,2026-02-20T16:37:46.000,
Steve Jobs,2015,Jackson St. from Mason St. to Powell St.,,RDF Productions LLC,Universal Pictures,Danny Boyle,Aaron Sorkin,Michael Fassbender,Kate Winslet,Seth Rogen,CA,San Francisco,POINT (-122.4152298 37.8052723),3,2026-02-20T16:44:43.000,North Beach,-122.4152298,2026-02-20T16:37:46.000,37.8052723
Outerlands,2025,Sparkles Laundry Services – 4200 Balboa St.,,"Vajra Films, LLC",Wolfe Video,Elena Oxman,Elena Oxman,Asia Kate Dillon,Louisa Krause,Ridley Asha Bateman,CA,San Francisco,POINT (-122.5039749 37.7755356),1,2026-02-20T16:44:43.000,Outer Richmond,-122.5039749,2026-02-20T16:37:46.000,37.7755356
So I Married an Axe Murderer,1993,Rocco's Corner (Columbus Street),,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,,CA,San Francisco,POINT (-122.4147089 37.8032738),3,2026-02-20T16:44:43.000,Russian Hill,-122.4147089,2026-02-20T16:37:46.000,37.8032738
DEVS,2020,Mission at 20th St,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,CA,San Francisco,POINT (-122.4190792 37.7586345),9,2026-02-20T16:44:43.000,Mission,-122.4190792,2026-02-20T16:37:46.000,37.7586345
The Moon Is in Aquarius,2024,Castro between 17th & 19th St.,,TMIIAquarius Movie LLC,Deskpop Entertainment,Jesse Kuba,Jesse Kuba,Destiny Ekwueme,Gary Moore,Mia Jomor,CA,San Francisco,POINT (-122.43497 37.75939),8,2026-02-20T16:44:43.000,Castro/Upper Market,-122.43497,2026-02-20T16:37:46.000,37.75939
The Candidate,1972,"Westin St. Francis Hotel (335 Powell Street, Union Square)","The hotel was originally supposed to be named the Crocker Hotel, after Charles Founder the railroad magnate who founded it. However, the hotel took the name the St. Francis after one of the earliest Gold Rush hotels.",Redford-Ritchie Productions,Warner Bros. Pictures,Michael Ritchie,Jeremy Larner,Robert Redford,Peter Boyle,,CA,San Francisco,POINT (-122.4087206 37.7877854),3,2026-02-20T16:44:43.000,Tenderloin,-122.4087206,2026-02-20T16:37:46.000,37.7877854
The Presidio,1988,Montgomery & Vallejo Streets (Telegraph Hill),,Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,Meg Ryan,CA,San Francisco,POINT (-122.4040755 37.7991868),3,2026-02-20T16:44:43.000,North Beach,-122.4040755,2026-02-20T16:37:46.000,37.7991868
Pushing Dead,2016,"Infield Batting Cages, 1888 Clement Street",,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert,CA,San Francisco,POINT (-122.4792811 37.7825309),1,2026-02-20T16:44:43.000,Outer Richmond,-122.4792811,2026-02-20T16:37:46.000,37.7825309
Americana,2015,Bernal Heights Park,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,CA,San Francisco,POINT (-122.4126216 37.7422467),9,2026-02-20T16:44:43.000,Bernal Heights,-122.4126216,2026-02-20T16:37:46.000,37.7422467
Terminator - Genisys,2015,California between Leavenworth and Powell,,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,CA,San Francisco,POINT (-122.4157509 37.8084354),3,2026-02-20T16:44:43.000,North Beach,-122.4157509,2026-02-20T16:37:46.000,37.8084354
Blue Jasmine,2013,2898 Broadway,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,CA,San Francisco,POINT (-122.4447333 37.7933788),2,2026-02-20T16:44:43.000,Pacific Heights,-122.4447333,2026-02-20T16:37:46.000,37.7933788
Pushing Dead,2016,2930 3rd Street,,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert,CA,San Francisco,POINT (-122.388217 37.751986),10,2026-02-20T16:44:43.000,Bayview Hunters Point,-122.388217,2026-02-20T16:37:46.000,37.751986
Goliath- Season 4,2021,Hyde and Lombard,,"Picrow, Inc.",Amazon Studios,"Billy Bob Thornton, Lawrence Trilling, Derek Johansen","David E. Kelley, Jonathan Shapiro",Billy Bob Thornton,Nina Arianda,Tania Raymonde,CA,San Francisco,POINT (-122.4196461 37.8020026),3,2026-02-20T16:44:43.000,Russian Hill,-122.4196461,2026-02-20T16:37:46.000,37.8020026
The Zodiac,2005,,,Blackwater Films,THINKFilm,Alexander Bulkley,Alexander Bulkley & Kelley Bulkeley,Justin Chambers,Robin Tunney,,CA,San Francisco,,,2026-02-20T16:44:43.000,,,2026-02-20T16:37:46.000,
The Phone/Jexi,2019,Sodini Restaurant - 510 Green St,,CBS Films Inc.,Lionsgate,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena,CA,San Francisco,POINT (-122.4076843 37.7998345),3,2026-02-20T16:44:43.000,North Beach,-122.4076843,2026-02-20T16:37:46.000,37.7998345
Chance- Season 1 ep102,2016,Potomac and Waller,,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.4384872 37.7701519),5,2026-02-20T16:44:43.000,Haight Ashbury,-122.4384872,2026-02-20T16:37:46.000,37.7701519
Super Pumped: The Battle for Uber,2022,Main Street between Harrison and Howard,,Possible Productions,Showtime,"Allen Coulter, Daniel Gray Longino, John Dahl, Zetna Fuentes","Brian Koppelman & David Levien, Sarah Acosta, Stephen Schiff, Emily Hornsby, Safie M. Dirie, Beth Schacter",Joseph Gordon-Levitt,Kyle Chandler,Kerry Bishé,CA,San Francisco,POINT (-122.393956 37.791116),6,2026-02-20T16:44:43.000,Financial District/South Beach,-122.393956,2026-02-20T16:37:46.000,37.791116
Blue Jasmine,2013,2179 48th Ave,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,CA,San Francisco,POINT (-122.5072394 37.7455566),4,2026-02-20T16:44:43.000,Sunset/Parkside,-122.5072394,2026-02-20T16:37:46.000,37.7455566
Chance Season 2,2017,Filbert St at Stockton St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,CA,San Francisco,POINT (-122.4093993 37.8013834),3,2026-02-20T16:44:43.000,North Beach,-122.4093993,2026-02-20T16:37:46.000,37.8013834
Surface Season 1,2022,California St. at Mason St.,,"Apple Studios, LLC",Apple TV+,Sam Miller,"Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Stephan James,CA,San Francisco,POINT (-122.4108452 37.7918443),3,2026-02-20T16:44:43.000,Nob Hill,-122.4108452,2026-02-20T16:37:46.000,37.7918443
The Assassination of Richard Nixon,2004,"Tosca Café (242 Columbus Avenue, North Beach)",,Anhelo Productions,THINKFilm,Niels Mueller,Niels Mueller & Kevin Kennedy,Sean Penn,Naomi Watts,,CA,San Francisco,POINT (-122.406019 37.7975646),3,2026-02-20T16:44:43.000,North Beach,-122.406019,2026-02-20T16:37:46.000,37.7975646
Time After Time,1979,Golden Gate Park,Golden Gate Park is similar in shape but 20% larger than New York's Central Park.,Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner,CA,San Francisco,POINT (-122.482977 37.7689203),4,2026-02-20T16:44:43.000,Golden Gate Park,-122.482977,2026-02-20T16:37:46.000,37.7689203
The Presidio,1988,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,Meg Ryan,CA,San Francisco,POINT (-122.4785598 37.8199109),,2026-02-20T16:44:43.000,,-122.4785598,2026-02-20T16:37:46.000,37.8199109
Harold and Maude,1971,Golden Gate Park,,Mildred Lewis and Colin Higgins Productions,Paramount Pictures,Hal Ashby,Colin Higgins,Ruth Gordon,Bud Cort,,CA,San Francisco,POINT (-122.482977 37.7689203),4,2026-02-20T16:44:43.000,Golden Gate Park,-122.482977,2026-02-20T16:37:46.000,37.7689203
Sense8,2015,Laguna Honda Hospital; 375 Laguna Honda Blvd.,dialogue scene,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,CA,San Francisco,POINT (-122.4548745 37.7475379),7,2026-02-20T16:44:43.000,Twin Peaks,-122.4548745,2026-02-20T16:37:46.000,37.7475379
A Man on The Inside,2024,Geary St. between Powell and Stockton,,"Universal Television, LLC",Netflix,Morgan Sackett,Michael Schur,Ted Danson,Mary Elizabeth Ellis,Lilah Richcreek Estrada,CA,San Francisco,POINT (-122.4086079 37.7873909),3,2026-02-20T16:44:43.000,Tenderloin,-122.4086079,2026-02-20T16:37:46.000,37.7873909
Red Widow,2013,2nd St & Howard,,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.,CA,San Francisco,POINT (-122.3982731 37.7867835),6,2026-02-20T16:44:43.000,Financial District/South Beach,-122.3982731,2026-02-20T16:37:46.000,37.7867835
Terminator - Genisys,2015,Mission at 1st and 2nd,,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,CA,San Francisco,POINT (-122.400202 37.7878372),6,2026-02-20T16:44:43.000,Financial District/South Beach,-122.400202,2026-02-20T16:37:46.000,37.7878372
San Andreas,2015,"Stage Work, 47 Julian St.",,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb,Dwayne Johnson,,,CA,San Francisco,,,2026-02-20T16:44:43.000,,,2026-02-20T16:37:46.000,
DEVS,2020,Broadway btwn Polk and Kearny,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,CA,San Francisco,POINT (-122.4218564 37.7957972),3,2026-02-20T16:44:43.000,Russian Hill,-122.4218564,2026-02-20T16:37:46.000,37.7957972
